c808cdc3-6565-4d79-a324-41d7a7417893
SubClient Configuration Information
Generated on: Feb 23, 2023, 1:17:18 AM

Subclient Properties
"Company","Client","Agent","Instance","Backup Set","Subclient"
"CommServ","ahppdwpre02n01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwpre02n02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPDWPSFVSQL01","SQL Server","AHPPDWPSFVSQL01\PSFP","defaultBackupSet","default"
"CommServ","AHPPDWPSFVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwpsfvsql03","SQL Server","AHPPDWPSFVSQL03","defaultBackupSet","default"
"CommServ","ahppdwpsfvsql03","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwpsoft01","SQL Server","AHPPDWPSOFT01","defaultBackupSet","default"
"CommServ","ahppdwpsoft01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwstepwse01","SQL Server","AHPPDWSTEPWSE01","defaultBackupSet","default"
"CommServ","ahppdwstepwse01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwvrnssql01","SQL Server","AHPPDWVRNSSQL01","defaultBackupSet","default"
"CommServ","ahppdwvrnssql01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppmljump01","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPMLJUMP03","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppmlnfs01","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppmwcmdp01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPMWJUMP02","Virtual Server","VMInstance","defaultBackupSet","default"
"CommServ","AHPPMWJUMP02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppmwnfsbkup","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPMWNTTJUMP12","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPMWNTTJUMP13","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPMWNTTJUMP14","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPMWNTTJUMP15","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPMWNTTJUMP16","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE01","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE02","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE03","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE04","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE05","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE06","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE07","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE07","Virtual Server","VMInstance","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE08","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE08","Virtual Server","VMInstance","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE09","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQALEDWMLIE09","Virtual Server","VMInstance","defaultBackupSet","default"
"CommServ","AHPQALEDWMLNF01","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqawchraxim02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqawedwmlql01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqawedwmlql02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqawedwmlql03","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqawintetl01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQDWAXMVSQL01","SQL Server","AHPQDWAXMVSQL01\AXMQ","defaultBackupSet","default"
"CommServ","AHPQDWAXMVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqdwchraxim02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqdwclus01n01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqdwclus01n02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQDWHRPVSQL01","SQL Server","AHPQDWHRPVSQL01\HRPQ","defaultBackupSet","06:00 AM backup"
"CommServ","AHPQDWHRPVSQL01","SQL Server","AHPQDWHRPVSQL01\HRPQ","defaultBackupSet","default"
"CommServ","AHPQDWHRPVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahpqdwintetl02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQDWINTVSQL01","SQL Server","AHPQDWINTVSQL01\INTQ","defaultBackupSet","06:00 AM backup"
"CommServ","AHPQDWINTVSQL01","SQL Server","AHPQDWINTVSQL01\INTQ","defaultBackupSet","default"
"CommServ","AHPQDWINTVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQDWPSFVSQL01","SQL Server","AHPQDWPSFVSQL01\PSFQ","defaultBackupSet","default"
"CommServ","AHPQDWPSFVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPQDWPSOFT01","SQL Server","AHPQDWPSOFT01","defaultBackupSet","default"
"CommServ","AHPQDWPSOFT01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptalboomi01","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptalboomi02","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaledi164","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaledwmlie01","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaledwmlie02","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaledwmlie03","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaledwmlie04","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaledwmlie05","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaledwmlie06","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaledwmlnf01","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPTALINTETL01","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptalplm","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptawautomic","SQL Server","AHPTAWAUTOMIC","defaultBackupSet","default"
"CommServ","ahptawautomic","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptaworahyp05","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptawqliksns01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptawtsendhr01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptawtsenduat","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPTDWAXMVSQL01","SQL Server","AHPTDWAXMVSQL01\AXMT","defaultBackupSet","default"
"CommServ","AHPTDWAXMVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptdwclus01n01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptdwclus01n02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPTDWHRPVSQL01","SQL Server","AHPTDWHRPVSQL01\HRPT","defaultBackupSet","default"
"CommServ","AHPTDWHRPVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPTDWINTVSQL01","SQL Server","AHPTDWINTVSQL01\INTT","defaultBackupSet","default"
"CommServ","AHPTDWINTVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptdwmoveit01","SQL Server","AHPTDWMOVEIT01","defaultBackupSet","default"
"CommServ","ahptdwmoveit01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptdworahyp11","SQL Server","AHPTDWORAHYP11","defaultBackupSet","default"
"CommServ","ahptdworahyp11","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahptdwstepwse01","SQL Server","AHPTDWSTEPWSE01","defaultBackupSet","default"
"CommServ","ahptdwstepwse01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
