Backup job summary
 Report generated on Nov 10, 2022, 9:33:02 AM

Job Details
"Job ID","Server","Agent","HyperVisor Type","Subclient","Type","Backup Type","Application Size","Media Size","Job status","Failure Reason","Throughput (GB/Hour)","VM Operating System","VM Datastore","Retain Data Until"
"2563906","gnvtdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","7996124","127026","Completed","","1.120","","","Dec 10, 2022, 08:00:08 AM"
"2563905","ahp0493","SQL Server","N/A","default","Backup","Transaction Log","11535190","224413","Completed","","1.430","","","Dec 10, 2022, 08:00:08 AM"
"2563904","miatdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","4719080","60022","Completed","","0.750","","","Dec 10, 2022, 08:00:08 AM"
"2563903","miatdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","3539310","44454","Completed","","0.620","","","Dec 10, 2022, 08:00:08 AM"
"2563902","miatdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","40373348","768813","Completed","","1.960","","","Dec 10, 2022, 08:00:08 AM"
"2563901","ahp0759","SQL Server","N/A","default","Backup","Transaction Log","6553966","295272","Completed","","1.050","","","Dec 10, 2022, 08:00:08 AM"
"2563900","ahp0763","SQL Server","N/A","default","Backup","Transaction Log","11928284","442324","Completed","","1.740","","","Dec 10, 2022, 08:00:08 AM"
"2563899","miatdwfarm02","SQL Server","N/A","default","Backup","Transaction Log","12911812","203871","Completed","","1.310","","","Dec 10, 2022, 08:00:08 AM"
"2563898","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","50725474","50841512","Completed","","14.170","","","Nov 24, 2022, 08:00:08 AM"
"2563884","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","16777826","16819176","Completed","","5.110","","","Nov 24, 2022, 07:45:07 AM"
"2563882","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","17629794","17673064","Completed","","5.370","","","Nov 24, 2022, 07:30:07 AM"
"2563881","miapdwfarm01","SQL Server","N/A","ERPM_DB","Backup","Transaction Log","6684916","627310","Completed","","2.800","","","Nov 24, 2022, 07:30:07 AM"
"2563879","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","100663906","100889576","Completed","","30.680","","","Nov 24, 2022, 07:15:07 AM"
